Animal,Real Labels,Pred Labels
aardvark (oritteropo),1,1
antelope (antilope),1,2
bass (persico),4,5
bear (orso),1,1
boar (cinghiale),1,2
buffalo (bufalo),1,2
calf (vitello),1,2
carp (carpa),4,4
catfish (pesce gatto),4,5
cavy (cavia),1,2
cheetah (ghepardo),1,1
chicken (pollo),2,7
chub (pesce cavedano),4,4
clam (mollusco),7,4
crab (granchio),7,6
crayfish (gambero),7,6
crow (corvo),2,7
deer (cervo),1,2
dogfish (squalo),4,5
dolphin (delfino),1,5
dove (piccione),2,7
duck (anatra),2,7
elephant (elefante),1,2
flamingo (fenicottero),2,7
flea (pulce),6,6
frog (rana),5,3
frog2 (rana vel),5,3
fruitbat (volpe volante),1,2
giraffe (giraffa),1,2
girl (ragazza),1,2
gnat (moscerino),6,6
goat (capra),1,2
gorilla (gorilla),1,1
gull (gabbiano),2,7
haddock (pesce eglefino),4,4
hamster (criceto),1,2
hare (lepre),1,2
hawk (falco),2,7
herring (aringa),4,5
honeybee (ape),6,6
housefly (mosca domestica),6,6
kiwi (uccello kiwi),2,7
ladybird (coccinella),6,6
lark (allodola),2,7
leopard (leopardo),1,1
lion (leone),1,1
lobster (aragosta),7,6
lynx (lince),1,1
mink (visone),1,1
mole (talpa),1,1
mongoose (mangusta),1,1
moth (falena),6,6
newt (tritone),5,3
octopus (polpo),7,4
opossum (opossum),1,1
oryx (orice),1,2
ostrich (struzzo),2,7
parakeet (parrocchetto),2,7
penguin (pinguino),2,7
pheasant (fagiano),2,7
pike (luccio),4,5
piranha (piranha),4,5
pitviper (vipera),3,5
platypus (ornitorinco),1,3
polecat (puzzola),1,1
pony (pony),1,2
porpoise (focena),1,5
puma (puma),1,1
pussycat (gatto),1,1
raccoon (procione),1,1
reindeer (renna),1,2
rhea (uccello nandù),2,7
scorpion (scorpione),7,6
seahorse (cavalluccio marino),4,4
seal (foca),1,5
sealion (leone marino),1,5
seasnake (serpente di mare),3,5
seawasp (medusa),7,4
skimmer (uccello skimmer),2,7
skua (uccello skua),2,7
slowworm (orbettino),3,4
slug (lumaca),7,4
sole (sogliola),4,4
sparrow (passero),2,7
squirrel (scoiattolo),1,2
starfish (stella marina),7,4
stingray (razza),4,5
swan (cigno),2,7
termite (termite),6,6
toad (rospo),5,3
tortoise (tartaruga),3,3
tuatara (tuatara),3,3
tuna (tonno),4,5
vampire (pipistrello vampiro),1,2
vole (roditore),1,2
vulture (avvoltoio),2,7
wallaby (canguro),1,1
wasp (vespa),6,6
wolf (lupo),1,1
worm (verme),7,4
wren (uccello scricciolo),2,7
