Animal,Real Labels,Pred Labels
aardvark,1,1
antelope,1,2
bass,4,5
bear,1,1
boar,1,2
buffalo,1,2
calf,1,2
carp,4,4
catfish,4,5
cavy,1,2
cheetah,1,1
chicken,2,7
chub,4,4
clam,7,4
crab,7,6
crayfish,7,6
crow,2,7
deer,1,2
dogfish,4,5
dolphin,1,5
dove,2,7
duck,2,7
elephant,1,2
flamingo,2,7
flea,6,6
frog,5,3
frog2,5,3
fruitbat,1,2
giraffe,1,2
girl,1,2
gnat,6,6
goat,1,2
gorilla,1,1
gull,2,7
haddock,4,4
hamster,1,2
hare,1,2
hawk,2,7
herring,4,5
honeybee,6,6
housefly,6,6
kiwi,2,7
ladybird,6,6
lark,2,7
leopard,1,1
lion,1,1
lobster,7,6
lynx,1,1
mink,1,1
mole,1,1
mongoose,1,1
moth,6,6
newt,5,3
octopus,7,4
opossum,1,1
oryx,1,2
ostrich,2,7
parakeet,2,7
penguin,2,7
pheasant,2,7
pike,4,5
piranha,4,5
pitviper,3,5
platypus,1,3
polecat,1,1
pony,1,2
porpoise,1,5
puma,1,1
pussycat,1,1
raccoon,1,1
reindeer,1,2
rhea,2,7
scorpion,7,6
seahorse,4,4
seal,1,5
sealion,1,5
seasnake,3,5
seawasp,7,4
skimmer,2,7
skua,2,7
slowworm,3,4
slug,7,4
sole,4,4
sparrow,2,7
squirrel,1,2
starfish,7,4
stingray,4,5
swan,2,7
termite,6,6
toad,5,3
tortoise,3,3
tuatara,3,3
tuna,4,5
vampire,1,2
vole,1,2
vulture,2,7
wallaby,1,1
wasp,6,6
wolf,1,1
worm,7,4
wren,2,7
