Animal,Real Labels,Pred Labels
aardvark,1,6
antelope,1,7
bass,4,2
bear,1,6
boar,1,7
buffalo,1,7
calf,1,7
carp,4,3
catfish,4,2
cavy,1,7
cheetah,1,6
chicken,2,1
chub,4,2
clam,7,3
crab,7,4
crayfish,7,4
crow,2,1
deer,1,7
dogfish,4,2
dolphin,1,2
dove,2,1
duck,2,1
elephant,1,7
flamingo,2,1
flea,6,4
frog,5,4
frog2,5,4
fruitbat,1,5
giraffe,1,7
girl,1,5
gnat,6,4
goat,1,7
gorilla,1,7
gull,2,1
haddock,4,3
hamster,1,7
hare,1,7
hawk,2,1
herring,4,2
honeybee,6,4
housefly,6,4
kiwi,2,1
ladybird,6,4
lark,2,1
leopard,1,6
lion,1,6
lobster,7,4
lynx,1,6
mink,1,6
mole,1,6
mongoose,1,6
moth,6,4
newt,5,4
octopus,7,3
opossum,1,6
oryx,1,7
ostrich,2,1
parakeet,2,1
penguin,2,1
pheasant,2,1
pike,4,2
piranha,4,2
pitviper,3,2
platypus,1,6
polecat,1,6
pony,1,7
porpoise,1,2
puma,1,6
pussycat,1,6
raccoon,1,6
reindeer,1,7
rhea,2,1
scorpion,7,4
seahorse,4,3
seal,1,2
sealion,1,2
seasnake,3,2
seawasp,7,3
skimmer,2,1
skua,2,1
slowworm,3,3
slug,7,3
sole,4,3
sparrow,2,1
squirrel,1,7
starfish,7,3
stingray,4,2
swan,2,1
termite,6,4
toad,5,4
tortoise,3,4
tuatara,3,4
tuna,4,2
vampire,1,5
vole,1,7
vulture,2,1
wallaby,1,7
wasp,6,4
wolf,1,6
worm,7,3
wren,2,1
