Animal,Real Labels,Pred Labels
aardvark (oritteropo),1,6
gorilla (gorilla),1,1
hamster (criceto),1,1
hare (lepre),1,1
leopard (leopardo),1,1
lion (leone),1,1
lynx (lince),1,1
mink (visone),1,6
mole (talpa),1,1
opossum (opossum),1,6
oryx (orice),1,1
platypus (ornitorinco),1,6
polecat (puzzola),1,1
pony (pony),1,1
porpoise (focena),1,7
puma (puma),1,1
pussycat (gatto),1,1
raccoon (procione),1,1
reindeer (renna),1,1
seal (foca),1,7
sealion (leone marino),1,7
squirrel (scoiattolo),1,2
vampire (pipistrello),1,2
vole (roditore),1,1
wallaby (canguro),1,1
wolf (lupo),1,1
goat (capra),1,1
girl (ragazza),1,2
mongoose (mangusta),1,1
fruitbat (volpe volante),1,2
dolphin (delfino),1,7
giraffe (giraffa),1,1
elephant (elefante),1,1
cheetah (ghepardo),1,1
cavy (cavia),1,1
calf (vitello),1,1
deer (cervo),1,1
buffalo (bufalo),1,1
boar (cinghiale),1,1
bear (orso),1,1
antelope (antilope),1,1
skua (uccello skua),2,5
skimmer (uccello skimmer),2,5
crow (corvo),2,5
swan (cigno),2,5
chicken (pollo),2,5
vulture (avvoltoio),2,5
pheasant (fagiano),2,5
penguin (pinguino),2,5
parakeet (parrocchetto),2,5
ostrich (struzzo),2,5
sparrow (passero),2,5
rhea (uccello nandù),2,5
wren (uccello scricciolo),2,5
hawk (falco),2,5
dove (piccione),2,5
duck (anatra),2,5
flamingo (fenicottero),2,5
gull (gabbiano),2,5
lark (allodola),2,5
kiwi (uccello kiwi),2,5
tortoise (tartaruga),3,6
seasnake (serpente di mare),3,4
tuatara (tuatara),3,6
slowworm (orbettino),3,4
pitviper (vipera),3,4
carp (carpa),4,4
seahorse (cavalluccio marino),4,4
tuna (tonno),4,7
catfish (pesce gatto),4,4
chub (pesce cavedano),4,4
bass (persico),4,4
piranha (piranha),4,4
pike (luccio),4,7
dogfish (squalo),4,7
stingray (razza),4,7
haddock (pesce eglefino),4,4
sole (sogliola),4,4
herring (aringa),4,4
newt (tritone),5,3
toad (rospo),5,3
frog2 (rana vel),5,3
frog (rana),5,3
housefly (mosca domestica),6,3
ladybird (coccinella),6,3
flea (pulce),6,3
wasp (vespa),6,3
gnat (moscerino),6,3
moth (falena),6,3
termite (termite),6,3
honeybee (ape),6,3
seawasp (medusa),7,4
slug (lumaca),7,4
octopus (polpo),7,4
scorpion (scorpione),7,3
clam (mollusco),7,4
crayfish (gambero),7,3
lobster (aragosta),7,3
worm (verme),7,4
starfish (stella marina),7,4
crab (granchio),7,3
