Animal,Real Labels,Pred Labels
aardvark,1,1
antelope,1,1
bass,4,3
bear,1,1
boar,1,1
buffalo,1,1
calf,1,1
carp,4,3
catfish,4,3
cavy,1,1
cheetah,1,1
chicken,2,4
chub,4,3
clam,7,3
crab,7,2
crayfish,7,2
crow,2,4
deer,1,1
dogfish,4,3
dolphin,1,6
dove,2,4
duck,2,4
elephant,1,1
flamingo,2,4
flea,6,2
frog,5,7
frog2,5,7
fruitbat,1,5
giraffe,1,1
girl,1,5
gnat,6,2
goat,1,1
gorilla,1,1
gull,2,4
haddock,4,3
hamster,1,1
hare,1,1
hawk,2,4
herring,4,3
honeybee,6,2
housefly,6,2
kiwi,2,4
ladybird,6,2
lark,2,4
leopard,1,1
lion,1,1
lobster,7,2
lynx,1,1
mink,1,1
mole,1,1
mongoose,1,1
moth,6,2
newt,5,7
octopus,7,3
opossum,1,1
oryx,1,1
ostrich,2,4
parakeet,2,4
penguin,2,4
pheasant,2,4
pike,4,6
piranha,4,3
pitviper,3,3
platypus,1,1
polecat,1,1
pony,1,1
porpoise,1,6
puma,1,1
pussycat,1,1
raccoon,1,1
reindeer,1,1
rhea,2,4
scorpion,7,2
seahorse,4,3
seal,1,6
sealion,1,6
seasnake,3,3
seawasp,7,3
skimmer,2,4
skua,2,4
slowworm,3,3
slug,7,3
sole,4,3
sparrow,2,4
squirrel,1,5
starfish,7,3
stingray,4,3
swan,2,4
termite,6,2
toad,5,7
tortoise,3,7
tuatara,3,7
tuna,4,6
vampire,1,5
vole,1,1
vulture,2,4
wallaby,1,1
wasp,6,2
wolf,1,1
worm,7,3
wren,2,4
