Animal,Real Labels,Pred Labels
aardvark,1,3
antelope,1,1
bass,4,4
bear,1,3
boar,1,1
buffalo,1,1
calf,1,1
carp,4,4
catfish,4,4
cavy,1,1
cheetah,1,3
chicken,2,2
chub,4,4
clam,7,4
crab,7,5
crayfish,7,5
crow,2,2
deer,1,1
dogfish,4,4
dolphin,1,4
dove,2,2
duck,2,2
elephant,1,1
flamingo,2,2
flea,6,5
frog,5,6
frog2,5,6
fruitbat,1,7
giraffe,1,1
girl,1,7
gnat,6,5
goat,1,1
gorilla,1,1
gull,2,2
haddock,4,4
hamster,1,1
hare,1,1
hawk,2,2
herring,4,4
honeybee,6,5
housefly,6,5
kiwi,2,2
ladybird,6,5
lark,2,2
leopard,1,3
lion,1,3
lobster,7,5
lynx,1,3
mink,1,3
mole,1,1
mongoose,1,3
moth,6,5
newt,5,6
octopus,7,4
opossum,1,1
oryx,1,1
ostrich,2,2
parakeet,2,2
penguin,2,2
pheasant,2,2
pike,4,4
piranha,4,4
pitviper,3,4
platypus,1,3
polecat,1,3
pony,1,1
porpoise,1,4
puma,1,3
pussycat,1,1
raccoon,1,3
reindeer,1,1
rhea,2,2
scorpion,7,5
seahorse,4,4
seal,1,4
sealion,1,4
seasnake,3,4
seawasp,7,4
skimmer,2,2
skua,2,2
slowworm,3,4
slug,7,4
sole,4,4
sparrow,2,2
squirrel,1,7
starfish,7,4
stingray,4,4
swan,2,2
termite,6,5
toad,5,6
tortoise,3,6
tuatara,3,6
tuna,4,4
vampire,1,7
vole,1,1
vulture,2,2
wallaby,1,1
wasp,6,5
wolf,1,3
worm,7,4
wren,2,2
