Animal,Real Labels,Pred Labels
aardvark,1,1
antelope,1,2
bass,4,1
bear,1,3
boar,1,2
buffalo,1,2
calf,1,4
carp,4,1
catfish,4,1
cavy,1,1
cheetah,1,3
chicken,2,5
chub,4,1
clam,7,1
crab,7,1
crayfish,7,1
crow,2,1
deer,1,2
dogfish,4,1
dolphin,1,1
dove,2,5
duck,2,1
elephant,1,2
flamingo,2,1
flea,6,1
frog,5,1
frog2,5,1
fruitbat,1,1
giraffe,1,2
girl,1,1
gnat,6,1
goat,1,4
gorilla,1,1
gull,2,6
haddock,4,1
hamster,1,1
hare,1,1
hawk,2,1
herring,4,1
honeybee,6,1
housefly,6,1
kiwi,2,1
ladybird,6,1
lark,2,7
leopard,1,3
lion,1,3
lobster,7,1
lynx,1,3
mink,1,1
mole,1,1
mongoose,1,3
moth,6,1
newt,5,1
octopus,7,1
opossum,1,1
oryx,1,2
ostrich,2,1
parakeet,2,5
penguin,2,1
pheasant,2,7
pike,4,1
piranha,4,1
pitviper,3,1
platypus,1,1
polecat,1,3
pony,1,4
porpoise,1,1
puma,1,3
pussycat,1,1
raccoon,1,3
reindeer,1,4
rhea,2,1
scorpion,7,1
seahorse,4,1
seal,1,1
sealion,1,1
seasnake,3,1
seawasp,7,1
skimmer,2,6
skua,2,6
slowworm,3,1
slug,7,1
sole,4,1
sparrow,2,7
squirrel,1,1
starfish,7,1
stingray,4,1
swan,2,1
termite,6,1
toad,5,1
tortoise,3,1
tuatara,3,1
tuna,4,1
vampire,1,1
vole,1,1
vulture,2,1
wallaby,1,1
wasp,6,1
wolf,1,1
worm,7,1
wren,2,7
